Query Name,Performance Gain (%),Postgres Time,LLM Time,Same as Postgres Plan
imdbload_9a2.sql,5.3019063322842594,1089.212,1031.463,False
imdbload_1a807.sql,0.7749546279491868,330.6,328.038,True
imdbload_20a_job_middle.sql,59.26645778209689,1046.511,426.28099999999995,False
imdbload_9b2.sql,7.622396516549905,255.379,235.913,True
imdbload_8a117.sql,72.74126142261552,3186.989,868.7329999999997,False
imdbload_5a250.sql,41.57242829558612,610.597,356.757,False
imdbload_3a1108.sql,85.97610193769334,214.327,30.056999999999988,False
imdbload_7a64.sql,78.16746145580794,1812.011,395.60799999999995,False
imdbload_11b2.sql,51.69651881365783,2035.197,983.0710000000001,False
imdbload_6a107.sql,10.328528530552683,593.434,532.141,False
imdbload_15a_job_middle.sql,-0.4153261816890756,92.939,93.325,True
imdbload_11a1.sql,18.08841324193179,2951.956,2417.994,False
imdbload_11b1.sql,12.397175487168564,300.512,263.257,True
imdbload_1a796.sql,6.126126126126119,41.625,39.075,True
imdbload_2a5.sql,1.9412834056197321,349.305,342.524,False
imdbload_2b180.sql,64.40564016830524,2738.358,974.701,False
imdbload_2c241.sql,37.3500687515425,141.815,88.847,False
imdbload_4a326.sql,32.09749751805827,204.477,138.845,False
imdbload_7a63.sql,93.14670081264953,2734.143,187.3789999999999,False
imdbload_10a2.sql,5.282925003201615,406.044,384.593,True
imdbload_11a2.sql,1.4665501350707022,629.3,620.071,False
imdbload_5a276.sql,7.781724249273491,114.589,105.672,False
imdbload_9a1.sql,2.1821761130572788,1335.96,1306.807,True
imdbload_6a104.sql,12.770575594202594,742.676,647.832,False
imdbload_33b_job_middle.sql,85.0497779734086,77.243,11.548000000000002,False
imdbload_3a1092.sql,3.589801359318086,26.631,25.675,False
imdbload_4a279.sql,51.2136472365605,158.86,77.502,False
imdbload_3b1.sql,6.309980442396043,131.918,123.594,False
imdbload_10a1.sql,79.63189527710037,5832.688,1188.0079999999998,False
imdbload_2a404.sql,28.343815513626836,40.545,29.053,False
imdbload_8a6.sql,33.13495254946115,198.944,133.024,False
imdbload_2c242.sql,9.986647139903514,46.432,41.795,True
imdbload_2b179.sql,1.709449483637939,518.822,509.953,True
imdbload_9b1.sql,24.9110216252165,273.662,205.49,False
imdbload_3b2.sql,46.099485305024636,357.299,192.586,False

Overall Weighted Performance Gain,51.50%
Filtered Weighted Performance Gain (Same as Postgres Plan = False),57.11%

Overall Arithmetic Performance Gain,30.80%
Filtered Arithmetic Performance Gain (Same as Postgres Plan = False),39.71%
