Iteration,Total LLM Time (ms),Total Postgres Time (ms),Relative Time
2,70770.75499999999,38440.62399999998,1.8410407437714857
3,54020.865999999995,38440.62399999998,1.4053066880496015
4,43551.607999999986,38440.62399999998,1.1329578833059528
5,61322.96000000001,38440.62399999998,1.59526442650879
6,37191.50099999998,38440.62399999998,0.9675051320706969
7,53810.234999999986,38440.62399999998,1.3998273024912398
8,52937.507999999994,38440.62399999998,1.3771240550101378
9,49381.425,38440.62399999998,1.28461559312877
10,21655.690999999995,38440.62399999998,0.5633543045503113
11,49588.32099999999,38440.62399999998,1.2899978158523133
12,48143.01699999999,38440.62399999998,1.252399466772444
13,46687.365999999995,38440.62399999998,1.2145319493252766
14,57544.41499999999,38440.62399999998,1.496968805709294
15,46469.502,38440.62399999998,1.208864403449851
16,38007.446,38440.62399999998,0.9887312443211125
17,68342.189,38440.62399999998,1.7778636735969746
18,19570.389000000003,38440.62399999998,0.5091069541430965
19,19564.562000000005,38440.62399999998,0.5089553697151226
20,19502.49300000001,38440.62399999998,0.5073406976952304
21,77470.31800000001,38440.62399999998,2.0153241529065724
22,55652.297999999995,38440.62399999998,1.447746998071624
23,48064.584,38440.62399999998,1.250359099269565
24,28848.069999999996,38440.62399999998,0.7504579009955721
25,55173.051,38440.62399999998,1.4352797967067348
26,47230.2,38440.62399999998,1.2286533121834864
27,45660.398000000016,38440.62399999998,1.1878162539713204
28,26955.263999999996,38440.62399999998,0.7012181696113988
29,27517.223000000005,38440.62399999998,0.7158370530093376
30,38112.208,38440.62399999998,0.991456538270555
31,64127.33999999999,38440.62399999998,1.6682179768986065
32,47100.616,38440.62399999998,1.2252822951053037
33,37520.446,38440.62399999998,0.9760623552833071
34,46505.20999999999,38440.62399999998,1.209793316570512
35,37044.165,38440.62399999998,0.9636723118750626
36,36871.02000000001,38440.62399999998,0.9591680925887163
37,45501.62099999999,38440.62399999998,1.1836858059328073
38,37262.28699999999,38440.62399999998,0.9693465694001223
39,37512.052999999985,38440.62399999998,0.975844018557035
40,26405.811,38440.62399999998,0.6869246191216879
41,18032.071000000007,38440.62399999998,0.469088925299444
42,37253.869999999995,38440.62399999998,0.96912760833435
43,35090.273,38440.62399999998,0.9128434803763856
44,18032.071000000007,38440.62399999998,0.469088925299444
45,45501.529,38440.62399999998,1.1836834126313878
46,46455.04699999999,38440.62399999998,1.2084883689713262
47,46590.303999999975,38440.62399999998,1.2120069642990186
48,57274.521,38440.62399999998,1.4899477438243465
49,26716.174000000003,38440.62399999998,0.694998447475775
50,36569.132000000005,38440.62399999998,0.9513147341208619
